dsg_prompt_split,qg_model,t2i_model,item_id,question,answer
tifa160,vq2a,mini-dalle,tifa160_67,What is on the plate? food?,yes
tifa160,vq2a,mini-dalle,tifa160_67,Who is shown eating outside with a plate on her lap? A barefoot woman?,yes
tifa160,vq2a,mini-dalle,tifa160_67,What is the woman eating from? plate?,yes
tifa160,vq2a,mini-dalle,tifa160_86,What are the men wearing? neon yellow safety jackets?,yes
tifa160,vq2a,mini-dalle,tifa160_86,What are the two men in neon yellow safety jackets sharing? meal?,yes
tifa160,vq2a,mini-dalle,tifa160_86,Who is sharing a meal next to a food car? Two men?,no
tifa160,vq2a,mini-dalle,tifa160_86,How many men are sharing a meal next to a food car? Two?,no
tifa160,vq2a,mini-dalle,tifa160_85,Who is wearing an umbrella hat? GUY?,no
tifa160,vq2a,mini-dalle,tifa160_85,What does this picture show? UMBRELLA HAT SITTING A TABLE WITH ANOTHER PERSON?,yes
tifa160,vq2a,mini-dalle,tifa160_85,Who is he sitting with? ANOTHER PERSON?,no
tifa160,vq2a,mini-dalle,tifa160_85,What is the gentleman wearing on his head? UMBRELLA HAT?,no
tifa160,vq2a,mini-dalle,tifa160_85,What is the guy with the umbrella hat sitting at? A TABLE?,yes
tifa160,vq2a,mini-dalle,tifa160_19,Who is standing in the door of a bus? A boy?,yes
tifa160,vq2a,mini-dalle,tifa160_84,What sex is the person in the photo? Woman?,no
tifa160,vq2a,mini-dalle,tifa160_84,What is the woman smiling and brushing? her teeth?,yes
tifa160,vq2a,mini-dalle,tifa160_17,What kind of horse is in the field? A midsized horse?,yes
tifa160,vq2a,mini-dalle,tifa160_17,Who is standing next to the horse? her rider?,yes
tifa160,vq2a,mini-dalle,tifa160_17,Where is the horse located? field?,yes
tifa160,vq2a,mini-dalle,tifa160_10,Who is eating a loaded hot dog? A man?,yes
tifa160,vq2a,mini-dalle,tifa160_10,Who is around the man eating the hot dog? people?,no
tifa160,vq2a,mini-dalle,tifa160_10,What is the man eating? loaded hot dog?,yes
tifa160,vq2a,mini-dalle,tifa160_5,Who is showing a watermelon slice to a woman on a scooter? A woman?,no
tifa160,vq2a,mini-dalle,tifa160_5,What is the woman on a scooter being shown? watermelon slice?,yes
tifa160,vq2a,mini-dalle,tifa160_5,Who is on the scooter? woman?,yes
tifa160,vq2a,mini-dalle,tifa160_76,On what part of the beach is the boat located? shore?,yes
tifa160,vq2a,mini-dalle,tifa160_76,Who is in the boat? person?,no
tifa160,vq2a,mini-dalle,tifa160_76,What kind of boat is the person in? wooden boat?,yes
tifa160,vq2a,mini-dalle,tifa160_83,What do some people post in front of? camera?,yes
tifa160,vq2a,mini-dalle,tifa160_83,In what direction do some people post pictures for a camera? front?,yes
tifa160,vq2a,mini-dalle,tifa160_83,Who posts in front of a camera for a picture? Some people?,yes
tifa160,vq2a,mini-dalle,tifa160_89,In what kind of city is this photo taken? major city?,yes
tifa160,vq2a,mini-dalle,tifa160_89,What is pictured here? An elevated subway train?,yes
tifa160,vq2a,mini-dalle,tifa160_62,What is topped with bags of luggage and purses? A table?,no
tifa160,vq2a,mini-dalle,tifa160_62,"Besides purses, what is on the table? luggage?",yes
tifa160,vq2a,mini-dalle,tifa160_62,"Besides purses, what was on the table? bags?",yes
tifa160,vq2a,mini-dalle,tifa160_16,What animal stands under a fence? A sheep?,yes
tifa160,vq2a,mini-dalle,tifa160_16,What type of hair does the sheep have? short hair?,yes
tifa160,vq2a,mini-dalle,tifa160_70,How much land are the skiers covering? vast expanse?,yes
tifa160,vq2a,mini-dalle,tifa160_70,Who is travelling across a vast expanse of snow covered land towards a mountain? Multiple skiers?,no
tifa160,vq2a,mini-dalle,tifa160_70,What are the skiers travelling across? land?,yes
tifa160,vq2a,mini-dalle,tifa160_97,What is the man standing by? oven?,yes
tifa160,vq2a,mini-dalle,tifa160_97,Who is standing by an oven with the door open? A man?,yes
tifa160,vq2a,mini-dalle,tifa160_40,"Besides vegetables, what else is in the dish? fruits?",yes
tifa160,vq2a,mini-dalle,tifa160_40,"Besides fruits, what else is in the dish? vegetable?",no
tifa160,vq2a,mini-dalle,tifa160_40,What is a group of fruits and vegetables called? An assortment?,no
tifa160,vq2a,mini-dalle,tifa160_74,Where is the cat on the laptop? top?,no
tifa160,vq2a,mini-dalle,tifa160_74,Where is the cat on the laptop? desk?,no
tifa160,vq2a,mini-dalle,tifa160_74,What is pictured on top of a laptop? A cat?,yes
tifa160,vq2a,mini-dalle,tifa160_12,What is parked by paint chipped doors? A red motorcycle?,no
tifa160,vq2a,mini-dalle,tifa160_12,What was chipped off the doors? paint?,yes
tifa160,vq2a,mini-dalle,tifa160_65,How many stuffed animals are in the bed? A group?,no
tifa160,vq2a,mini-dalle,tifa160_65,What is in the bed? stuffed animals?,yes
tifa160,vq2a,mini-dalle,tifa160_91,What is in the corner of a boat? A chair?,yes
tifa160,vq2a,mini-dalle,tifa160_91,What part of the boat is the chair in? corner?,yes
tifa160,vq2a,mini-dalle,tifa160_8,How many laptops are in the picture? two?,yes
tifa160,vq2a,mini-dalle,tifa160_8,A mouse cord is an example of what? wires?,yes
tifa160,vq2a,mini-dalle,tifa160_8,How many laptops are in the picture? two laptops?,no
tifa160,vq2a,mini-dalle,tifa160_8,"Aside from the laptops, cords and a monitor, what else is in the picture? mouse?",yes
tifa160,vq2a,mini-dalle,tifa160_8,"Aside from the laptops, mouse, cords and wires, what else was in the box? monitor?",yes
tifa160,vq2a,mini-dalle,tifa160_102,What electronic device is on the desk? A laptop?,yes
tifa160,vq2a,mini-dalle,tifa160_102,"Aside from a laptop, mouse, and phone, what else is on the desk? photo?",no
tifa160,vq2a,mini-dalle,tifa160_102,"Aside from a laptop, mouse and photo, what else is on the desk? phone?",yes
tifa160,vq2a,mini-dalle,tifa160_1,What is near a large wall of windows? planes?,yes
tifa160,vq2a,mini-dalle,tifa160_1,Planes near what? large wall?,yes
tifa160,vq2a,mini-dalle,tifa160_1,How many planes are near the wall of windows? A group?,yes
tifa160,vq2a,mini-dalle,tifa160_82,Who is in the photo? A boy?,yes
tifa160,vq2a,mini-dalle,tifa160_82,What is the boy wearing? green shirt?,yes
tifa160,vq2a,mini-dalle,tifa160_54,In what direction is the laptop facing? front?,yes
tifa160,vq2a,mini-dalle,tifa160_54,Who is sitting on a couch in front of a laptop? A woman?,yes
tifa160,vq2a,mini-dalle,tifa160_54,Where is the woman sitting? couch?,yes
tifa160,vq2a,mini-dalle,tifa160_4,Who is trying to pull off a trick on the ramp? A male skateboarder?,no
tifa160,vq2a,mini-dalle,tifa160_4,What is the skateboarder trying to pull off? trick?,yes
tifa160,vq2a,mini-dalle,tifa160_41,Where are the people in the picture walking? city sidewalk?,yes
tifa160,vq2a,mini-dalle,tifa160_41,Who is walking down the sidewalk? People?,yes
tifa160,vq2a,mini-dalle,tifa160_18,What is on the bed in the photograph? laptop?,yes
tifa160,vq2a,mini-dalle,tifa160_18,What is the laptop on? bed?,yes
tifa160,vq2a,mini-dalle,tifa160_18,"Aside from white, what color is the photograph? Black?",no
tifa160,vq2a,mini-dalle,tifa160_18,A bed with a laptop on it is depicted in what medium? white photograph?,no
tifa160,vq2a,mini-dalle,tifa160_45,What are the beginner skiers having? class?,yes
tifa160,vq2a,mini-dalle,tifa160_45,What kind of skiers are in class X 1? beginner snow skiers?,yes
tifa160,vq2a,mini-dalle,tifa160_88,What is flying through the air with propellers? A commercial airplane?,yes
tifa160,vq2a,mini-dalle,tifa160_88,A commercial airplane has what flying through the air? propellers?,yes
tifa160,vq2a,mini-dalle,tifa160_55,Where are the seashells on the toilet? top?,yes
tifa160,vq2a,mini-dalle,tifa160_55,What is on top of the seashells? Small white toilet?,no
tifa160,vq2a,mini-dalle,tifa160_55,What is on top of the toilet? seashells?,no
tifa160,vq2a,mini-dalle,tifa160_94,Where is this man located? food truck?,yes
tifa160,vq2a,mini-dalle,tifa160_94,Who is pictured at a food truck looking at the menu? A man?,yes
tifa160,vq2a,mini-dalle,tifa160_75,What is in the grass field? Some very big furry brown bears?,no
tifa160,vq2a,mini-dalle,tifa160_69,What is the woman on the couch playing? video game?,yes
tifa160,vq2a,mini-dalle,tifa160_69,Who is seen playing a video game on a couch? A young woman?,yes
tifa160,vq2a,mini-dalle,tifa160_73,What kind of water is near the sign? body?,no
tifa160,vq2a,mini-dalle,tifa160_73,What is laying on a lush green field near a body of water? A sign?,yes
tifa160,vq2a,mini-dalle,tifa160_73,Where is the sign located? lush green field?,yes
tifa160,vq2a,mini-dalle,tifa160_50,"Besides veggies and broccoli, what else is on the plate? meat?",no
tifa160,vq2a,mini-dalle,tifa160_50,"What is topped with broccoli, meat and veggies? A red plate?",yes
tifa160,vq2a,mini-dalle,tifa160_78,What kind of chair is the woman sitting in? modern chair?,yes
tifa160,vq2a,mini-dalle,tifa160_78,Who is pictured in a blue dress sitting next to a vase in an empty room? Woman?,no
tifa160,vq2a,mini-dalle,tifa160_78,What color is the woman's dress? blue dress?,yes
tifa160,vq2a,mini-dalle,tifa160_3,What is sitting outside of a building? A large motorcycle?,yes
tifa160,vq2a,mini-dalle,tifa160_79,How many people are standing next to the elephant? Three people?,no
