dsg_prompt_split,qg_model,t2i_model,item_id,question,answer
tifa160,tifa,mini-dalle,tifa160_63,is there a traffic light?,yes
tifa160,tifa,mini-dalle,tifa160_63,is there a signpost?,yes
tifa160,tifa,mini-dalle,tifa160_63,is this a crossroads intersection?,yes
tifa160,tifa,mini-dalle,tifa160_63,what type of place is this?,crossroads intersection
tifa160,tifa,mini-dalle,tifa160_63,is the crossroads intersection near a waterway?,yes
tifa160,tifa,mini-dalle,tifa160_63,is the crossroads intersection near or far from the waterway?,near
tifa160,tifa,mini-dalle,tifa160_5,is this a woman?,yes
tifa160,tifa,mini-dalle,tifa160_5,is there a watermelon slice?,yes
tifa160,tifa,mini-dalle,tifa160_5,what is the woman showing to a woman on a scooter?,watermelon slice
tifa160,tifa,mini-dalle,tifa160_5,is there a woman on a scooter?,yes
tifa160,tifa,mini-dalle,tifa160_5,who is on a scooter?,woman
tifa160,tifa,mini-dalle,tifa160_5,is there a scooter?,yes
tifa160,tifa,mini-dalle,tifa160_5,what vehicle is one of the woman on?,scooter
tifa160,tifa,mini-dalle,tifa160_5,is the woman showing a watermelon slice to another woman?,yes
tifa160,tifa,mini-dalle,tifa160_5,is one of the woman on a scooter?,yes
tifa160,tifa,mini-dalle,tifa160_12,is this a motorcycle?,yes
tifa160,tifa,mini-dalle,tifa160_12,what type of vehicle is this?,motorcycle
tifa160,tifa,mini-dalle,tifa160_12,are there doors?,yes
tifa160,tifa,mini-dalle,tifa160_12,is the motorcycle parked?,yes
tifa160,tifa,mini-dalle,tifa160_12,is the motorcycle red?,yes
tifa160,tifa,mini-dalle,tifa160_12,what color is the motorcycle?,red
tifa160,tifa,mini-dalle,tifa160_12,are the doors paint chipped?,yes
tifa160,tifa,mini-dalle,tifa160_66,is this a kitten?,yes
tifa160,tifa,mini-dalle,tifa160_66,what animal is in the picture?,kitten
tifa160,tifa,mini-dalle,tifa160_66,what type of furniture is this?,bed
tifa160,tifa,mini-dalle,tifa160_66,is the kitten lying?,yes
tifa160,tifa,mini-dalle,tifa160_66,is the kitten caramel-colored?,yes
tifa160,tifa,mini-dalle,tifa160_66,is the blanket small?,yes
tifa160,tifa,mini-dalle,tifa160_66,is the blanket small or large?,small
tifa160,tifa,mini-dalle,tifa160_66,is the bed unmade?,yes
tifa160,tifa,mini-dalle,tifa160_66,is the bed unmade or made?,unmade
tifa160,tifa,mini-dalle,tifa160_66,is the kitten lying on top of the blanket?,yes
tifa160,tifa,mini-dalle,tifa160_66,is the kitten on top of or under the blanket?,on top
tifa160,tifa,mini-dalle,tifa160_88,is this an airplane?,yes
tifa160,tifa,mini-dalle,tifa160_88,what type of vehicle is this?,airplane
tifa160,tifa,mini-dalle,tifa160_88,are there propellers on the airplane?,yes
tifa160,tifa,mini-dalle,tifa160_88,what is on the airplane?,propellers
tifa160,tifa,mini-dalle,tifa160_88,is the airplane flying?,yes
tifa160,tifa,mini-dalle,tifa160_88,is this a commercial airplane?,yes
tifa160,tifa,mini-dalle,tifa160_88,is this a commercial or a military airplane?,commercial
tifa160,tifa,mini-dalle,tifa160_17,is this a horse?,yes
tifa160,tifa,mini-dalle,tifa160_17,what animal is in the picture?,horse
tifa160,tifa,mini-dalle,tifa160_17,is there a rider?,yes
tifa160,tifa,mini-dalle,tifa160_17,who is standing?,rider
tifa160,tifa,mini-dalle,tifa160_17,is this a field?,yes
tifa160,tifa,mini-dalle,tifa160_17,what type of place is this?,field
tifa160,tifa,mini-dalle,tifa160_17,is the rider standing?,yes
tifa160,tifa,mini-dalle,tifa160_17,what is the rider doing?,standing
tifa160,tifa,mini-dalle,tifa160_17,is the horse midsized?,yes
tifa160,tifa,mini-dalle,tifa160_17,is the horse midsized or large?,midsized
tifa160,tifa,mini-dalle,tifa160_102,is there a laptop?,yes
tifa160,tifa,mini-dalle,tifa160_102,is there an external keyboard?,yes
tifa160,tifa,mini-dalle,tifa160_102,what type of keyboard is this?,external keyboard
tifa160,tifa,mini-dalle,tifa160_102,is there a mouse?,yes
tifa160,tifa,mini-dalle,tifa160_102,is there a phone?,yes
tifa160,tifa,mini-dalle,tifa160_102,is there a photo?,yes
tifa160,tifa,mini-dalle,tifa160_102,is there a desk?,yes
tifa160,tifa,mini-dalle,tifa160_102,what type of furniture is this?,desk
tifa160,tifa,mini-dalle,tifa160_3,is this a motorcycle?,yes
tifa160,tifa,mini-dalle,tifa160_3,is the motorcycle large?,yes
tifa160,tifa,mini-dalle,tifa160_3,is the motorcycle large or small?,small
tifa160,tifa,mini-dalle,tifa160_3,is the motorcycle outside of the building?,yes
tifa160,tifa,mini-dalle,tifa160_3,is the motorcycle outside of or inside of the building?,outside of
tifa160,tifa,mini-dalle,tifa160_85,is this a guy?,yes
tifa160,tifa,mini-dalle,tifa160_85,is the guy wearing an umbrella hat?,yes
tifa160,tifa,mini-dalle,tifa160_85,what is the guy wearing?,umbrella hat
tifa160,tifa,mini-dalle,tifa160_85,is there a table?,yes
tifa160,tifa,mini-dalle,tifa160_85,what type of furniture is this?,table
tifa160,tifa,mini-dalle,tifa160_85,is there another person?,yes
tifa160,tifa,mini-dalle,tifa160_85,who is at the table?,person
tifa160,tifa,mini-dalle,tifa160_85,is the guy sitting at the table?,yes
tifa160,tifa,mini-dalle,tifa160_85,is the guy sitting at the table with another person?,yes
tifa160,tifa,mini-dalle,tifa160_11,is this a man?,yes
tifa160,tifa,mini-dalle,tifa160_11,is the man wearing a wet suit?,yes
tifa160,tifa,mini-dalle,tifa160_11,what is the man wearing?,wet suit
tifa160,tifa,mini-dalle,tifa160_11,is the man surfing?,yes
tifa160,tifa,mini-dalle,tifa160_11,what is the man doing?,surfing
tifa160,tifa,mini-dalle,tifa160_10,is this a man?,yes
tifa160,tifa,mini-dalle,tifa160_10,who is eating a loaded hot dog?,man
tifa160,tifa,mini-dalle,tifa160_10,is the man eating a hot dog?,yes
tifa160,tifa,mini-dalle,tifa160_10,what type of food is the man eating?,hot dog
tifa160,tifa,mini-dalle,tifa160_10,are there people around the man?,yes
tifa160,tifa,mini-dalle,tifa160_10,is the man eating?,yes
tifa160,tifa,mini-dalle,tifa160_10,is the hot dog loaded?,yes
tifa160,tifa,mini-dalle,tifa160_10,are there people around or in front of the man?,in front of
tifa160,tifa,mini-dalle,tifa160_10,are the people in a line?,yes
tifa160,tifa,mini-dalle,tifa160_10,are the people in a line or in a circle?,in a line
tifa160,tifa,mini-dalle,tifa160_96,is this a man?,yes
tifa160,tifa,mini-dalle,tifa160_96,is the man wearing a suit?,yes
tifa160,tifa,mini-dalle,tifa160_96,is there a large wave?,yes
tifa160,tifa,mini-dalle,tifa160_96,is the man surfing a large wave?,yes
tifa160,tifa,mini-dalle,tifa160_96,is the suit black?,yes
tifa160,tifa,mini-dalle,tifa160_96,what color is the suit?,black
