dsg_prompt_split,qg_model,t2i_model,item_id,question,question_id,dependency_id,answer
tifa160,dsg,mini-dalle,tifa160_0,Is there a Christmas tree?,1,0,yes
tifa160,dsg,mini-dalle,tifa160_0,Are there lights?,2,0,yes
tifa160,dsg,mini-dalle,tifa160_0,Is there a teddy bear?,3,0,yes
tifa160,dsg,mini-dalle,tifa160_0,Are the lights on the Christmas tree?,4,"1,2",yes
tifa160,dsg,mini-dalle,tifa160_0,Is the teddy bear on the Christmas tree?,5,"1,3",yes
tifa160,dsg,mini-dalle,tifa160_1,Are there planes?,1,0,yes
tifa160,dsg,mini-dalle,tifa160_1,Is there a wall of windows?,2,0,yes
tifa160,dsg,mini-dalle,tifa160_1,Are the planes in a group?,3,1,yes
tifa160,dsg,mini-dalle,tifa160_1,Is the wall of windows large?,4,2,yes
tifa160,dsg,mini-dalle,tifa160_1,Are the planes near the wall of windows?,5,"1,2",yes
tifa160,dsg,mini-dalle,tifa160_2,Is there a bear?,1,0,yes
tifa160,dsg,mini-dalle,tifa160_2,Is the bear brown?,2,1,yes
tifa160,dsg,mini-dalle,tifa160_2,Is the bear walking across the forest?,3,"1,4",yes
tifa160,dsg,mini-dalle,tifa160_2,Is there a forest?,4,0,yes
tifa160,dsg,mini-dalle,tifa160_2,Are there trees?,5,0,yes
tifa160,dsg,mini-dalle,tifa160_2,Is the bear surrounded by trees?,6,"1,5",yes
tifa160,dsg,mini-dalle,tifa160_2,Is the forest surrounded by trees?,7,"4,5",yes
tifa160,dsg,mini-dalle,tifa160_3,Is there a motorcycle?,1,0,yes
tifa160,dsg,mini-dalle,tifa160_3,Is there a building?,2,0,yes
tifa160,dsg,mini-dalle,tifa160_3,Is the motorcycle large?,3,1,yes
tifa160,dsg,mini-dalle,tifa160_3,Is the motorcycle sitting?,4,1,yes
tifa160,dsg,mini-dalle,tifa160_3,Is the motorcycle outside of the building?,5,"1,2",yes
tifa160,dsg,mini-dalle,tifa160_4,Is there a skateboarder?,1,0,yes
tifa160,dsg,mini-dalle,tifa160_4,Is there a ramp?,2,0,yes
tifa160,dsg,mini-dalle,tifa160_4,Is the skateboarder male?,3,1,yes
tifa160,dsg,mini-dalle,tifa160_4,Is the skateboarder pulling off a trick?,4,1,yes
tifa160,dsg,mini-dalle,tifa160_4,Is the skateboarder on the ramp?,5,"1,2",yes
tifa160,dsg,mini-dalle,tifa160_5,Is there a woman?,1,0,yes
tifa160,dsg,mini-dalle,tifa160_5,Is there a watermelon slice?,2,0,yes
tifa160,dsg,mini-dalle,tifa160_5,Is there a woman?,3,0,yes
tifa160,dsg,mini-dalle,tifa160_5,Is there a scooter?,4,0,yes
tifa160,dsg,mini-dalle,tifa160_5,Is the woman showing a watermelon slice?,5,"1,2",yes
tifa160,dsg,mini-dalle,tifa160_5,Is the woman on the scooter?,6,"3,4",yes
tifa160,dsg,mini-dalle,tifa160_6,Is there a man?,1,0,yes
tifa160,dsg,mini-dalle,tifa160_6,Is the man wearing a suit?,2,1,no
tifa160,dsg,mini-dalle,tifa160_6,Is the suit green?,3,2,yes
tifa160,dsg,mini-dalle,tifa160_6,Is the man leaning over a laptop?,4,"1,3",yes
tifa160,dsg,mini-dalle,tifa160_7,Is there a woman?,1,0,yes
tifa160,dsg,mini-dalle,tifa160_7,Is there a racquet?,2,0,yes
tifa160,dsg,mini-dalle,tifa160_7,Is there a tennis court?,3,0,yes
tifa160,dsg,mini-dalle,tifa160_7,Is the woman holding a racquet?,4,"1,2",yes
tifa160,dsg,mini-dalle,tifa160_7,Is the woman on top of the tennis court?,5,"1,3",yes
tifa160,dsg,mini-dalle,tifa160_7,Is the racquet on top of the tennis court?,6,"2,3",yes
tifa160,dsg,mini-dalle,tifa160_8,Are there laptops?,1,0,yes
tifa160,dsg,mini-dalle,tifa160_8,Are there two laptops?,2,1,yes
tifa160,dsg,mini-dalle,tifa160_8,Are there mouse cords?,3,0,yes
tifa160,dsg,mini-dalle,tifa160_8,Are there wires?,4,0,yes
tifa160,dsg,mini-dalle,tifa160_8,Is there a monitor?,5,0,yes
tifa160,dsg,mini-dalle,tifa160_9,Is there a man?,1,0,yes
tifa160,dsg,mini-dalle,tifa160_9,Does the man have a hand?,2,1,yes
tifa160,dsg,mini-dalle,tifa160_9,Does the man have a suit?,3,1,yes
tifa160,dsg,mini-dalle,tifa160_9,Does the man have a tie?,4,1,yes
tifa160,dsg,mini-dalle,tifa160_9,Is there a beer?,5,0,yes
tifa160,dsg,mini-dalle,tifa160_9,Is the man young?,6,1,yes
