dsg_prompt_split,qg_model,t2i_model,item_id,question,answer
tifa160,tifa,mini-dalle,tifa160_63,"Question: is there a traffic light? Choices: yes, no. Answer:",no
tifa160,tifa,mini-dalle,tifa160_63,"Question: is there a signpost? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_63,"Question: is this a crossroads intersection? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_63,"Question: what type of place is this? Choices: crossroads intersection, parking lot, airport, bus stop. Answer:",
tifa160,tifa,mini-dalle,tifa160_63,"Question: is the crossroads intersection near a waterway? Choices: yes, no. Answer:",no
tifa160,tifa,mini-dalle,tifa160_63,"Question: is the crossroads intersection near or far from the waterway? Choices: near, far, next to, behind. Answer:",
tifa160,tifa,mini-dalle,tifa160_5,"Question: is this a woman? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_5,"Question: is there a watermelon slice? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_5,"Question: what is the woman showing to a woman on a scooter? Choices: watermelon slice, apple, orange, banana. Answer:",
tifa160,tifa,mini-dalle,tifa160_5,"Question: is there a woman on a scooter? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_5,"Question: who is on a scooter? Choices: woman, man, boy, girl. Answer:",woman
tifa160,tifa,mini-dalle,tifa160_5,"Question: is there a scooter? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_5,"Question: what vehicle is one of the woman on? Choices: scooter, bicycle, motorcycle, car. Answer:",
tifa160,tifa,mini-dalle,tifa160_5,"Question: is the woman showing a watermelon slice to another woman? Choices: yes, no. Answer:",
tifa160,tifa,mini-dalle,tifa160_5,"Question: is one of the woman on a scooter? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_12,"Question: is this a motorcycle? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_12,"Question: what type of vehicle is this? Choices: motorcycle, car, bicycle, bus. Answer:",motorcycle
tifa160,tifa,mini-dalle,tifa160_12,"Question: are there doors? Choices: yes, no. Answer:",no
tifa160,tifa,mini-dalle,tifa160_12,"Question: is the motorcycle parked? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_12,"Question: is the motorcycle red? Choices: yes, no. Answer:",yes
tifa160,tifa,mini-dalle,tifa160_12,"Question: what color is the motorcycle? Choices: red, black, white, yellow. Answer:",red
