data_type,model_type,item_id,worker_id,question,answer
tifa160,mini-dalle,tifa160_143,4375840905,How consistent is the image with the text description?,3
tifa160,mini-dalle,tifa160_143,4375843592,How consistent is the image with the text description?,5
tifa160,mini-dalle,tifa160_143,4379690288,How consistent is the image with the text description?,5
tifa160,mini-dalle,tifa160_143,4387897261,How consistent is the image with the text description?,5
tifa160,mini-dalle,tifa160_143,4389767429,How consistent is the image with the text description?,4
tifa160,vq-diffusion,tifa160_120,4375840905,How consistent is the image with the text description?,5
tifa160,vq-diffusion,tifa160_120,4375843592,How consistent is the image with the text description?,5
tifa160,vq-diffusion,tifa160_120,4379690288,How consistent is the image with the text description?,4
tifa160,vq-diffusion,tifa160_120,4387897261,How consistent is the image with the text description?,5
tifa160,vq-diffusion,tifa160_120,4389767429,How consistent is the image with the text description?,5
tifa160,vq-diffusion,tifa160_46,4375840905,How consistent is the image with the text description?,5
tifa160,vq-diffusion,tifa160_46,4375843592,How consistent is the image with the text description?,4
tifa160,vq-diffusion,tifa160_46,4379690288,How consistent is the image with the text description?,5
tifa160,vq-diffusion,tifa160_46,4387897261,How consistent is the image with the text description?,4
tifa160,vq-diffusion,tifa160_46,4389767429,How consistent is the image with the text description?,4
tifa160,sd1dot5,tifa160_1,4375840905,How consistent is the image with the text description?,5
tifa160,sd1dot5,tifa160_1,4375843592,How consistent is the image with the text description?,5
tifa160,sd1dot5,tifa160_1,4379690288,How consistent is the image with the text description?,5
tifa160,sd1dot5,tifa160_1,4387897261,How consistent is the image with the text description?,5
tifa160,sd1dot5,tifa160_1,4389767429,How consistent is the image with the text description?,5
tifa160,sd2dot1,tifa160_54,4375840905,How consistent is the image with the text description?,5
tifa160,sd2dot1,tifa160_54,4375843592,How consistent is the image with the text description?,5
tifa160,sd2dot1,tifa160_54,4379690288,How consistent is the image with the text description?,4
tifa160,sd2dot1,tifa160_54,4387897261,How consistent is the image with the text description?,5
tifa160,sd2dot1,tifa160_54,4389767429,How consistent is the image with the text description?,5
tifa160,sd1dot5,tifa160_151,4375840905,How consistent is the image with the text description?,3
tifa160,sd1dot5,tifa160_151,4375843592,How consistent is the image with the text description?,3
tifa160,sd1dot5,tifa160_151,4379690288,How consistent is the image with the text description?,4
tifa160,sd1dot5,tifa160_151,4387897261,How consistent is the image with the text description?,4
tifa160,sd1dot5,tifa160_151,4389767429,How consistent is the image with the text description?,4
tifa160,sd2dot1,tifa160_114,4375840905,How consistent is the image with the text description?,4
tifa160,sd2dot1,tifa160_114,4375843592,How consistent is the image with the text description?,4
tifa160,sd2dot1,tifa160_114,4379690288,How consistent is the image with the text description?,5
tifa160,sd2dot1,tifa160_114,4387897261,How consistent is the image with the text description?,5
tifa160,sd2dot1,tifa160_114,4389767429,How consistent is the image with the text description?,5
tifa160,sd2dot1,tifa160_101,4375840905,How consistent is the image with the text description?,3
tifa160,sd2dot1,tifa160_101,4375843592,How consistent is the image with the text description?,3
tifa160,sd2dot1,tifa160_101,4379690288,How consistent is the image with the text description?,4
tifa160,sd2dot1,tifa160_101,4387897261,How consistent is the image with the text description?,4
tifa160,sd2dot1,tifa160_101,4389767429,How consistent is the image with the text description?,3
tifa160,sd2dot1,tifa160_37,4375840905,How consistent is the image with the text description?,2
tifa160,sd2dot1,tifa160_37,4375843592,How consistent is the image with the text description?,2
tifa160,sd2dot1,tifa160_37,4379690288,How consistent is the image with the text description?,4
tifa160,sd2dot1,tifa160_37,4387897261,How consistent is the image with the text description?,4
tifa160,sd2dot1,tifa160_37,4389767429,How consistent is the image with the text description?,4
tifa160,sd1dot5,tifa160_94,4375840905,How consistent is the image with the text description?,4
tifa160,sd1dot5,tifa160_94,4375843592,How consistent is the image with the text description?,4
tifa160,sd1dot5,tifa160_94,4379690288,How consistent is the image with the text description?,4
tifa160,sd1dot5,tifa160_94,4387897261,How consistent is the image with the text description?,4
tifa160,sd1dot5,tifa160_94,4389767429,How consistent is the image with the text description?,5
tifa160,sd2dot1,tifa160_73,4375840905,How consistent is the image with the text description?,5
tifa160,sd2dot1,tifa160_73,4375843592,How consistent is the image with the text description?,5
tifa160,sd2dot1,tifa160_73,4379690288,How consistent is the image with the text description?,4
tifa160,sd2dot1,tifa160_73,4387897261,How consistent is the image with the text description?,4
tifa160,sd2dot1,tifa160_73,4389767429,How consistent is the image with the text description?,3
tifa160,sd1dot1,tifa160_131,4375840905,How consistent is the image with the text description?,5
tifa160,sd1dot1,tifa160_131,4375843592,How consistent is the image with the text description?,5
tifa160,sd1dot1,tifa160_131,4379690288,How consistent is the image with the text description?,5
tifa160,sd1dot1,tifa160_131,4387897261,How consistent is the image with the text description?,5
tifa160,sd1dot1,tifa160_131,4389767429,How consistent is the image with the text description?,5
tifa160,mini-dalle,tifa160_33,4375840905,How consistent is the image with the text description?,4
tifa160,mini-dalle,tifa160_33,4375843592,How consistent is the image with the text description?,4
tifa160,mini-dalle,tifa160_33,4379690288,How consistent is the image with the text description?,4
tifa160,mini-dalle,tifa160_33,4387897261,How consistent is the image with the text description?,4
tifa160,mini-dalle,tifa160_33,4389767429,How consistent is the image with the text description?,4
tifa160,sd1dot1,tifa160_77,4375840905,How consistent is the image with the text description?,1
tifa160,sd1dot1,tifa160_77,4379690288,How consistent is the image with the text description?,1
tifa160,sd1dot1,tifa160_77,4389767429,How consistent is the image with the text description?,1
tifa160,sd2dot1,tifa160_127,4375840905,How consistent is the image with the text description?,3
tifa160,sd2dot1,tifa160_127,4375843592,How consistent is the image with the text description?,3
tifa160,sd2dot1,tifa160_127,4379690288,How consistent is the image with the text description?,4
tifa160,sd2dot1,tifa160_127,4387897261,How consistent is the image with the text description?,4
tifa160,sd2dot1,tifa160_127,4389767429,How consistent is the image with the text description?,4
tifa160,sd1dot5,tifa160_51,4375840905,How consistent is the image with the text description?,5
tifa160,sd1dot5,tifa160_51,4375843592,How consistent is the image with the text description?,5
tifa160,sd1dot5,tifa160_51,4379690288,How consistent is the image with the text description?,5
tifa160,sd1dot5,tifa160_51,4387897261,How consistent is the image with the text description?,5
tifa160,sd1dot5,tifa160_51,4389767429,How consistent is the image with the text description?,5
tifa160,vq-diffusion,tifa160_14,4375840905,How consistent is the image with the text description?,3
tifa160,vq-diffusion,tifa160_14,4375843592,How consistent is the image with the text description?,3
tifa160,vq-diffusion,tifa160_14,4379690288,How consistent is the image with the text description?,4
tifa160,vq-diffusion,tifa160_14,4387897261,How consistent is the image with the text description?,4
tifa160,vq-diffusion,tifa160_14,4389767429,How consistent is the image with the text description?,3
tifa160,mini-dalle,tifa160_124,4375840905,How consistent is the image with the text description?,3
tifa160,mini-dalle,tifa160_124,4375843592,How consistent is the image with the text description?,3
tifa160,mini-dalle,tifa160_124,4379690288,How consistent is the image with the text description?,3
tifa160,mini-dalle,tifa160_124,4387897261,How consistent is the image with the text description?,2
tifa160,mini-dalle,tifa160_124,4389767429,How consistent is the image with the text description?,3
tifa160,sd1dot1,tifa160_143,4375840905,How consistent is the image with the text description?,5
tifa160,sd1dot1,tifa160_143,4375843592,How consistent is the image with the text description?,5
tifa160,sd1dot1,tifa160_143,4379690288,How consistent is the image with the text description?,4
tifa160,sd1dot1,tifa160_143,4387897261,How consistent is the image with the text description?,5
tifa160,sd1dot1,tifa160_143,4389767429,How consistent is the image with the text description?,5
tifa160,sd1dot1,tifa160_60,4375840905,How consistent is the image with the text description?,3
tifa160,sd1dot1,tifa160_60,4375843592,How consistent is the image with the text description?,4
tifa160,sd1dot1,tifa160_60,4379690288,How consistent is the image with the text description?,4
tifa160,sd1dot1,tifa160_60,4387897261,How consistent is the image with the text description?,3
tifa160,sd1dot1,tifa160_60,4389767429,How consistent is the image with the text description?,4
tifa160,sd1dot1,tifa160_122,4375840905,How consistent is the image with the text description?,4
tifa160,sd1dot1,tifa160_122,4375843592,How consistent is the image with the text description?,4
tifa160,sd1dot1,tifa160_122,4379690288,How consistent is the image with the text description?,4
tifa160,sd1dot1,tifa160_122,4387897261,How consistent is the image with the text description?,5
tifa160,sd1dot1,tifa160_122,4389767429,How consistent is the image with the text description?,4
tifa160,sd2dot1,tifa160_80,4375840905,How consistent is the image with the text description?,5
tifa160,sd2dot1,tifa160_80,4375843592,How consistent is the image with the text description?,5
tifa160,sd2dot1,tifa160_80,4379690288,How consistent is the image with the text description?,4
tifa160,sd2dot1,tifa160_80,4387897261,How consistent is the image with the text description?,5
tifa160,sd2dot1,tifa160_80,4389767429,How consistent is the image with the text description?,5
tifa160,mini-dalle,tifa160_5,4375840905,How consistent is the image with the text description?,5
tifa160,mini-dalle,tifa160_5,4375843592,How consistent is the image with the text description?,5
tifa160,mini-dalle,tifa160_5,4379690288,How consistent is the image with the text description?,5
tifa160,mini-dalle,tifa160_5,4387897261,How consistent is the image with the text description?,5
tifa160,mini-dalle,tifa160_5,4389767429,How consistent is the image with the text description?,5
tifa160,vq-diffusion,tifa160_113,4375840905,How consistent is the image with the text description?,4
tifa160,vq-diffusion,tifa160_113,4375843592,How consistent is the image with the text description?,4
