dsg_prompt_split,qg_model,t2i_model,item_id,question,answer
tifa160,vq2a,mini-dalle,tifa160_67,What is on the plate? food?,yes
tifa160,vq2a,mini-dalle,tifa160_67,Who is shown eating outside with a plate on her lap? A barefoot woman?,
tifa160,vq2a,mini-dalle,tifa160_67,What is the woman eating from? plate?,yes
tifa160,vq2a,mini-dalle,tifa160_86,What are the men wearing? neon yellow safety jackets?,yes
tifa160,vq2a,mini-dalle,tifa160_86,What are the two men in neon yellow safety jackets sharing? meal?,
tifa160,vq2a,mini-dalle,tifa160_86,Who is sharing a meal next to a food car? Two men?,
tifa160,vq2a,mini-dalle,tifa160_86,How many men are sharing a meal next to a food car? Two?,
tifa160,vq2a,mini-dalle,tifa160_85,Who is wearing an umbrella hat? GUY?,no
tifa160,vq2a,mini-dalle,tifa160_85,What does this picture show? UMBRELLA HAT SITTING A TABLE WITH ANOTHER PERSON?,
tifa160,vq2a,mini-dalle,tifa160_85,Who is he sitting with? ANOTHER PERSON?,no
tifa160,vq2a,mini-dalle,tifa160_85,What is the gentleman wearing on his head? UMBRELLA HAT?,
tifa160,vq2a,mini-dalle,tifa160_85,What is the guy with the umbrella hat sitting at? A TABLE?,
tifa160,vq2a,mini-dalle,tifa160_19,Who is standing in the door of a bus? A boy?,yes
tifa160,vq2a,mini-dalle,tifa160_84,What sex is the person in the photo? Woman?,yes
tifa160,vq2a,mini-dalle,tifa160_84,What is the woman smiling and brushing? her teeth?,yes
tifa160,vq2a,mini-dalle,tifa160_17,What kind of horse is in the field? A midsized horse?,yes
tifa160,vq2a,mini-dalle,tifa160_17,Who is standing next to the horse? her rider?,yes
tifa160,vq2a,mini-dalle,tifa160_17,Where is the horse located? field?,yes
tifa160,vq2a,mini-dalle,tifa160_10,Who is eating a loaded hot dog? A man?,yes
tifa160,vq2a,mini-dalle,tifa160_10,Who is around the man eating the hot dog? people?,yes
tifa160,vq2a,mini-dalle,tifa160_10,What is the man eating? loaded hot dog?,yes
tifa160,vq2a,mini-dalle,tifa160_5,Who is showing a watermelon slice to a woman on a scooter? A woman?,
tifa160,vq2a,mini-dalle,tifa160_5,What is the woman on a scooter being shown? watermelon slice?,
tifa160,vq2a,mini-dalle,tifa160_5,Who is on the scooter? woman?,yes
tifa160,vq2a,mini-dalle,tifa160_76,On what part of the beach is the boat located? shore?,yes
tifa160,vq2a,mini-dalle,tifa160_76,Who is in the boat? person?,no
tifa160,vq2a,mini-dalle,tifa160_76,What kind of boat is the person in? wooden boat?,yes
tifa160,vq2a,mini-dalle,tifa160_83,What do some people post in front of? camera?,yes
tifa160,vq2a,mini-dalle,tifa160_83,In what direction do some people post pictures for a camera? front?,yes
tifa160,vq2a,mini-dalle,tifa160_83,Who posts in front of a camera for a picture? Some people?,
tifa160,vq2a,mini-dalle,tifa160_89,In what kind of city is this photo taken? major city?,yes
tifa160,vq2a,mini-dalle,tifa160_89,What is pictured here? An elevated subway train?,yes
tifa160,vq2a,mini-dalle,tifa160_62,What is topped with bags of luggage and purses? A table?,
tifa160,vq2a,mini-dalle,tifa160_62,"Besides purses, what is on the table? luggage?",yes
tifa160,vq2a,mini-dalle,tifa160_62,"Besides purses, what was on the table? bags?",yes
tifa160,vq2a,mini-dalle,tifa160_16,What animal stands under a fence? A sheep?,yes
tifa160,vq2a,mini-dalle,tifa160_16,What type of hair does the sheep have? short hair?,no
tifa160,vq2a,mini-dalle,tifa160_70,How much land are the skiers covering? vast expanse?,yes
tifa160,vq2a,mini-dalle,tifa160_70,Who is travelling across a vast expanse of snow covered land towards a mountain? Multiple skiers?,
tifa160,vq2a,mini-dalle,tifa160_70,What are the skiers travelling across? land?,yes
tifa160,vq2a,mini-dalle,tifa160_97,What is the man standing by? oven?,yes
tifa160,vq2a,mini-dalle,tifa160_97,Who is standing by an oven with the door open? A man?,yes
tifa160,vq2a,mini-dalle,tifa160_40,"Besides vegetables, what else is in the dish? fruits?",
tifa160,vq2a,mini-dalle,tifa160_40,"Besides fruits, what else is in the dish? vegetable?",yes
tifa160,vq2a,mini-dalle,tifa160_40,What is a group of fruits and vegetables called? An assortment?,
tifa160,vq2a,mini-dalle,tifa160_74,Where is the cat on the laptop? top?,yes
tifa160,vq2a,mini-dalle,tifa160_74,Where is the cat on the laptop? desk?,yes
tifa160,vq2a,mini-dalle,tifa160_74,What is pictured on top of a laptop? A cat?,yes
tifa160,vq2a,mini-dalle,tifa160_12,What is parked by paint chipped doors? A red motorcycle?,yes
tifa160,vq2a,mini-dalle,tifa160_12,What was chipped off the doors? paint?,yes
tifa160,vq2a,mini-dalle,tifa160_65,How many stuffed animals are in the bed? A group?,yes
tifa160,vq2a,mini-dalle,tifa160_65,What is in the bed? stuffed animals?,yes
tifa160,vq2a,mini-dalle,tifa160_91,What is in the corner of a boat? A chair?,yes
tifa160,vq2a,mini-dalle,tifa160_91,What part of the boat is the chair in? corner?,yes
tifa160,vq2a,mini-dalle,tifa160_8,How many laptops are in the picture? two?,yes
tifa160,vq2a,mini-dalle,tifa160_8,A mouse cord is an example of what? wires?,yes
tifa160,vq2a,mini-dalle,tifa160_8,How many laptops are in the picture? two laptops?,1
tifa160,vq2a,mini-dalle,tifa160_8,"Aside from the laptops, cords and a monitor, what else is in the picture? mouse?",
tifa160,vq2a,mini-dalle,tifa160_8,"Aside from the laptops, mouse, cords and wires, what else was in the box? monitor?",
tifa160,vq2a,mini-dalle,tifa160_102,What electronic device is on the desk? A laptop?,yes
tifa160,vq2a,mini-dalle,tifa160_102,"Aside from a laptop, mouse, and phone, what else is on the desk? photo?",
tifa160,vq2a,mini-dalle,tifa160_102,"Aside from a laptop, mouse and photo, what else is on the desk? phone?",
tifa160,vq2a,mini-dalle,tifa160_1,What is near a large wall of windows? planes?,yes
tifa160,vq2a,mini-dalle,tifa160_1,Planes near what? large wall?,yes
tifa160,vq2a,mini-dalle,tifa160_1,How many planes are near the wall of windows? A group?,yes
tifa160,vq2a,mini-dalle,tifa160_82,Who is in the photo? A boy?,yes
tifa160,vq2a,mini-dalle,tifa160_82,What is the boy wearing? green shirt?,yes
tifa160,vq2a,mini-dalle,tifa160_54,In what direction is the laptop facing? front?,yes
tifa160,vq2a,mini-dalle,tifa160_54,Who is sitting on a couch in front of a laptop? A woman?,
tifa160,vq2a,mini-dalle,tifa160_54,Where is the woman sitting? couch?,yes
